bridge spider	# a large  often found on bridges and near water ().
broadcaster	# An organisation that engages in the activity of broadcasting.# A person whose job it is to broadcast#Verb|broadcast.
bimanually	# Using both hands.|passage=Bimanual dissection is performed according to the rules of microsurgery: one surgeon works '''bimanually''' to dissect and remove the cyst wall, while a second surgeon drives dynamically the endoscope.}}
befurbelow	# en To decorate with furbelow.
Bermuda rig	# en A sailing rig consisting of a single stayed mast with a fore-and-aft rigged mainsail on a boom and a jib or genoa on the forestay
beechen	# Consisting or made of the wood or bark of the beech.
Barnumize	# To enliven something, especially a spectacle or attraction.# To dumb down, cheapen, or vulgarize something, especially to create entertainment that appeals to coarse or unsophisticated tastes.# To promote with bombast, exaggeration, or outright falsehood; to hype or sensationalize.# To obtain money through fraudulent or deceitful means; to swindle or con.# To spread inaccurate or false information.# To seek or attract attention, especially through ostentation.
brinelling	# en A material surface failure caused by contact stress that exceeds the material limit.
beer o'clock	# en The time#Noun|time of the first beer (or alcoholic beverage) of the day.# en Time for a beer (the first of the day or otherwise).#: 
buhl work	# en Carved pieces of brass or other material for inlay in furniture and other woodwork.
Blackfoot	# A member of this confederacy.
bandwagoner	# Someone who supports or participates in something only because it is popular or successful.|page=21|year=1911|url=https://books.google.com/books?id=iR82Ed6oxKQC|author=Franklin Hichborn|passage= a lonely figure was pointed out by a one-time machine follower, whose efforts to get aboard the "bandwagon" were pathetic. "Not a man has spoken to him in two hours," announced the would-be '''bandwagoner''' feverishly.}}
buttockless	# en Without buttocks.
bitsquatting	# en A form of cybersquatting that involves the registration of domain names likely to be the result of a random memory error in a user's computer, e.g. ''excmple.com'' or ''exaeple.com'' for ''example.com''.
behavioreme	# A segmentable unit of human behavior.
bomb crater	# a hole in the ground created by the explosion of a large bomb, usually one dropped by a bomber (aircraft).
benavidesite	# en A monoclinic-prismatic mineral containing antimony, iron, lead, manganese, and sulfur.
bleater	# agent noun|Agent noun of bleat; one who bleats.
biphenanthrol	# en Any of several isomeric phenols derived from biphenanthryl
brassware	# Articles made from brass, treated as a group.
bioelectromagnetism	# electromagnetic radiation as it operates upon biological systems and organisms
backbulge	# en The depozone farthest from the orogen in a foreland basin.
Bitter plate	# Any of the circular conducting metal plates in a Bitter electromagnet.Category:English eponyms
blandation	# en flattery
black cake	# A Caribbean fruitcake based on the English plum pudding, with plums and raisins soaked in rum.
bronze race	# A mestizo race formed in America from indigenous people and Spanish colonizers.
beck and call	# summons|Summons and control, in a position of servitude or as an attendant.#: ''He had a small fleet of waiters and servants at his '''beck and call'''.''
bloatsome	# Characterised or marked by bloating
blabber	# A person who blabs; a tattler; a telltale.
bata	Image:Bata_drums.jpg|thumb|250px|Bata drums (from left: Okónkolo, Iyá, Itótele)# Ethnic ceremonial double-headed drums played in triplet in the religion of Santeria, especially in Cuba and Puerto Rico, originally from the Yoruba of Nigeria.
bicycle tourist	# A person who travels for fun on a bicycle. 
budgerigar	# A species of small parakeet native to Australia and often kept as pets, ''Melopsittacus undulatus''.
beehived	# Having a beehive hairdo.
batu	# en The drug methamphetamine hydrochloride, crystal meth.
bottom antiquark	# en The antiparticle of the bottom quark
bats	# en mad|Mad, insane.#: ''You must be '''bats''' to go out in the cold without a coat on.''
batting average	# en A statistical estimation of the scoring ability of a batsman; equal to the total number of runs scored divided by the number of times out.# en A statistical estimation of the hitting ability of a batter; equal to the number of hits divided by the number of official at-bats. Normally expressed as a real number instead of an average despite the name.#: ''Jones has a .279 '''batting average'''.''
batz	# en A small copper coin, with a mixture of silver, formerly current in some parts of Germany and Switzerland.
bilirubinostasis	# en accumulation|Accumulation of bilirubin in liver tissue as a consequence of impeded bile flow.
biferous	# en Bearing flowers or fruit twice each year
buttface	# en An ugly or disagreeable person.|lang=en|author=ladtmc|title=Pet Names|newsgroup=net.singles|id=ihldt.1793|url=https://groups.google.com/forum/#!original/net.singles/wMYnr3Kyb_A/_BCC1JwZUSIJ|accessdate=2018-10-04|date=15-Jul-83|passage=Since we seem to be gittin' into some slightly more narsty pet names... My sister called her ex-husband "'''Butt Face'''" (maybe that's why he's an "ex" now.)}}
bankcard	# A card that a bank issues used by the cardholder in the course of authorization to receive bank services.
benzenium ion	# en Any arenium ion derived from benzene or its derivatives.
bite to eat	# en A snack or quick meal.
blackfin	# bluefin tunaCategory:en:Scombroids
boogie-woogie	# en a style of blues piano music# a style of swing dance
Bektashi	# A member of an Islamic Sufi order.
biobanker	# A scientist who works in a biobank.
bakeable	# Able to be baked (and result in a satisfactory end product, e.g. edible or palatable bread).# Capable of withstanding baking heat.#: ''a '''bakeable''' valve''
betrayment	# betrayal
braveness	# The characteristic of being brave.
bust one's chops	# en To exert oneself.#: ''I've been '''busting my chops''' to get this out by end of day.''
babakoto	# A kind of large lemur, the indri.Category:en:Prosimians
bold as brass	# en Very bold; very forward or impudent.
brush off	#  To remove something with a brush.# en To disregard (something), to dismiss or ignore (someone), as unimportant.# en To depart with a sweeping motion.
behind the ear	# en Describing a type of hearing aid with microphone, amplifier, and battery that sit in a unit behind the wearer's auricle, and the amplified sound is passed down a tube into the ear canal.
bergylt	# The rose fish, an edible red fish found in the North Atlantic, ''Sebastes norvegicus''.# The ,  another North Atlantic fish
board out	# en To send (children or pets) to stay with other people (or to boarding school, in the case of children).
bewailable	# Such as may, or ought to, be bewailed; lamentable.
barrable	# en Capable of being barred (prevented).
bumptious	# obtrusive|Obtrusively pushy; self-assertive to a pretentious extreme.
beheading	# An instance of a person being beheaded.#: ''A large crowd gathered to see the '''beheading'''.''#: ''The guillotine was meant to humanize '''beheadings''', but allowed the French Revolution to execute people at an industrial rate.''
bisexually	# In a bisexual manner
borra	# leafy matter found in wax
butter tea	# A traditional drink in Tibet, Nepal, Bhutan and Sikkim, made from tea leaf|tea leaves, butter (traditionally from yak milk), water and salt.
Bulgarophone	# One who speaks Bulgarian.
bejeansed	# Clad in jeans.
bathydemersal	# A demersed fish living and/or feeding underwater below 200 meters (650 feet).
biocommodity	# Any biological commodity (such as biofuel).
big mama	# en grandmother
bookrunner	# The main underwriter or manager in equity, debt, or hybrid securities issuances, who syndicates with other investment banks in order to lower the risk.
bell gable	# A small gable-shaped construction, pierced with one or more openings, and used to contain bells.
brotherlike	# Resembling a brother or some aspect of one.
beardruff	# en scaly|Scaly dry dead skin in the human beard.
belemnitic	# Of or relating to belemnite.#: ''a '''belemnitic''' limestone''
bemangle	# en To mangle; to tear asunder.#: 
break-even point	# en The point where total costs equal total revenue and the organization neither makes a profit nor suffers a loss.
Bambara	# A w:Mande peoples|Mandé ethnic group native to much of West Africa.
birdkeeper	# One who cultivates birds as a hobby.
bolving	# The competitive imitation of the bellowing call of a rutting stag
blueward	# toward the blue end of the spectrum
blue hook star	# en a type of helium-burning blue giant star that is hotter than the average star in this stage of their life, due to having a more massive helium core
Balto-Slavic	# Of or pertaining to the Balto-Slavic language, the people who spoke it or their culture.
bathos	# overdone|Overdone or treacly attempts to inspire pathos.# en depth|Depth.# en risible|Risible failure on the part of a work of art to properly affect its audience, ''particularly owing to''## anticlimax: an abrupt transition in style or subject from high to low.## banality: unaffectingly cliché or trite treatment of a topic.## immaturity: lack of serious treatment of a topic.## hyperbole: excessiveness# en The ironic use of such failure for satiric or humorous effect.# en A nadir, a low point ''particularly'' in one's career.
bandemia	# en An excess of band cells released by the bone marrow into the blood.
bagnio	# A brothel.# en A building for bathe|bathing, sweating.# en In Turkey, a prison for slaves.
bow kite	# An inflatable kite incorporating a bridle on the leading edge, and used in kiteboarding or snowkiting.
binaphthalene	# en Any of several isomeric aromatic hydrocarbons formed from two naphthalene groups joined by a single bond.
bacteriostat	# A biological or chemical agent that causes bacteriostasis.
bicharacteristic	# en Describing a line of tangency of two characteristics
boronated	# en That has been reacted with a boronate or with boronic acid
baler	# A machine for creating bales, e.g., of hay or cotton.#: ''Farmer Jones is in straits because his '''baler''' is broken down and he's got three fields of hay ready to bale.''# A person who creates bales, either by operate|operating or feed|feeding such a machine, or by creating the bales by hand.#: ''Hank worked as a '''baler''' for Farmer Jones part time, to make ends meet.''
bedutch	# en To Germanize|Germanise.# en To make Dutch, or make like Dutch; Dutchify.
brannockite	# en A hexagonal-dihexagonal dipyramidal colorless mineral containing lithium, oxygen, potassium, silicon, and tin.
bioconversion	# The conversion of biological material into usable products; but especially the conversion of biomass into biofuel
beeriness	# The state or quality of being beery.
bierstube	# A beer hall.|passage=Downstairs was a '''bierstube''', where Cologne’s signature beer, Kölsch, was served in small, cylindrical glasses.}}
baserunning	# en The act of running bases, or a player's skill in doing so|passage=Zimmer's comment on Martinez's '''baserunning''' was that he was "timid" and wouldn't run on the green light.}}
brawn	# en Make fat, especially of a boar.# en Become fat, especially of a boar.
bojale	# A traditional ceremony in Botswana, initiate|initiating a girl into womanhood.
borapyridine	# en A heteroaromatic compound in which a carbon atom of a pyridine ring has been replaced by one of boron
blacksalter	# en A maker of crude potash, or black salts.
bromoalkene	# en Any bromo-|bromo derivative of an alkene
bigheaded ant	# An ant belonging to the invasive species , noted for the extremely large heads of some of its workersCategory:en:Ants
Batcape	# A cape, particularly one that resembles the long, black one worn by Batman.Category:en:BatmanCategory:en:Clothing
baby food	# A food designed for babies, usually of very soft consistency.|lang=en|date=December 14, 2011|author=Steven Morris|title=Devon woman jailed for 168 days for killing kitten in microwave|work=Guardian|url=http://www.guardian.co.uk/world/2011/dec/14/woman-killed-kitten-microwave-jail|page=|passage=The court was told Robins had asked if she could use the oven to heat some '''baby food''' for her child. Knutton heard a loud popping noise "like a crisp packet being popped" coming from the kitchen followed by a "screeching" noise. When she saw what had happened to the kitten she was sick in the sink.}}
birthstone	# Any of twelve gemstones traditionally associated with the month of one's birth.# Any of a similar list of less costly substitutes.
basellaceous	# en Belonging to the Basellaceae.
bribery	# the making of illegal payment, or bribes, to persons in official positions as a means of influencing their decisions# en the activity of giving, offering or accepting bribes
bee hummingbird	# A species of hummingbird, , native to Cuba, noted for being the smallest living bird.
bog down	# en To become stuck (as if in a bog) and unable to progress.# en To cause to become stuck and unable to progress.
blockbuster drug	# en A pharmaceutical product that generates more than a billion dollars of revenue for its owner each year.
bulby	# bulbous
bipole	# en A region of magnetic flux having two distinct poles# An electrical power transmission line having two direct-current conductors in opposite polarity.
bright-line rule	# en A clear-cut, easy to make a decision.# en A clearly defined rule or standard, composed of objective factors, which leaves little or no room for varying interpretation.
bisaryl	# en Connected to two aryl groups
basinward	# en Toward a basin.
baldaquin	# en A kind of embroidered material with gold thread-work.# A fine canopy of silk, erected over shrines, thrones, etc.
bass violist	# en Someone who plays the bass viol (double bass).Category:en:MusiciansCategory:en:People
benzenoid	# en A compound of this kind.
billethead	# en A round piece of timber at the bow or stern of a whaleboat, around which the harpoon line is run out when the whale darts off.Category:English terms with consonant pseudo-digraphsCategory:en:Whales
baryonychine	# Any en en of the subfamily .|passage=This contrasts with the more lateromedially angular quadrate ridge and the large quadrate foramen located at mid-height of the quadrates of '''baryonychines'''. }}
bafta	# A coarse material, usually of cotton, originally made in India.# An imitation of this fabric.
bispheric	# en Having a different radius of curvature at the centre and the edges
brainbow	# A graphical representation of parts of the brain in which neighbouring neurons are variously coloured with fluorescent dyes
brainbox	# en A very intelligent person.# en The head or skull (which encloses the brain).
beneficial insect	# en Any species of insect that provides pollination or pest control.Category:en:Insects
blast off	# en to begin ascent under rocket powerCategory:English phrasal verbsCategory:English phrasal verbs with particle (off)
brain cancer	# Any of various types of cancer associated with brain tumors.
backslash	# en To escape (a metacharacter) by prepending a backslash that serves as an escape character, thereby forming an escape sequence.
braceless	# Not having a brace or braces.
ballute	# A parachute that incorporates a toroidal balloon
bird's eye chili	# A spicy chili pepper, a cultivar from the species ''Capsicum annuum'', commonly found in Southeast Asia.
bigot	# One who is narrow-mindedly devoted to their own ideas and groups, and intolerant of (people of) differing ideas, races, genders, religions, politics, etc.
bigos	# A traditional Polish stew containing cabbage and meat|passage=I bombarded him with questions about his history with '''bigos'''.}}
bacteriostatically	# With regard to bacteriostasis; by means of a bacteriostat.
break new ground	# en To begin excavating and levelling earth for a new building, or, originally, for cultivation.# en To initiate a new venture, especially something never before attempted.
bigon	# en A polygon having two edges and two vertex|vertices.
banquetlike	# Resembling or characteristic of a banquet.
Bessemer iron	# pig iron suitable for making Bessemer steelCategory:English eponyms
bounded lattice	# en Any lattice (type of partially ordered set) that has both a greatest and a least element.
beblow	# en To blow upon; blow around or about; proclaim or spread about (word, news, fame, etc.)
beblot	# en To blot all over; stain.
biogeographer	# A person engaged in biogeography.
blushworthy	# Likely to cause blushes; embarrassing or immodest.
bedground	# The area of ground where a flock of livestock sleeps.
bodyslam	# Such a throw# en A devastating blow against an opponent.|lang=en|date=2002-05-09|title=Last Man Standing a Hollow Victory for Cisco|first=Jim|last=Cramer|site=The Street|url=http://www.thestreet.com/p/rmoney/jamesjcramer/10021632.html|passage=Just a simple '''bodyslam''' of everyone else in the sector. Which is why I am glad I never sold my Cisco. But it is also why I am not buying more.}}
bioconcentration	# en Any process that leads to a higher concentration of a substance in an organism than in its environment
bourré	# en A card game traditionally played in Louisiana, US.
betassel	# en To hang round or decorate with, or as with, tassels.
bioneogenesis	# en The neogenesis of biochemically active compouds|passage=CHL inhibits the protein synthesis that impacts among other protein expression the '''bioneogenesis''' of enzymes such as esterases, whereas AMP targets the bacterial cell wall synthesis. }}
ballbusting	# en Having a violent or aggressive attitude towards men.Category:en:BDSM
befool	# en To make a fool out of (someone); to fool, trick, or deceive (someone).
Bloch sphere	# en A geometrical representation of the pure state space of a two-level quantum-mechanical system, or qubit.Category:English eponyms
biomachine	# A biological organism, or group of organisms, that functions like, or is treated as, a machine.
brineless	# Not having any brine.
Belfast confetti	# Large ship-building rivets, nuts, bolts and other metal scrap used as missiles by Protestant shipyard workers during sectarian rioting in Belfast.Category:en:Northern Ireland
blenniid	# en Any fish in the family Blenniidae; a combtooth blenny.Category:en:Blennies
berlinite	# en A trigonal-trapezohedral mineral containing aluminum, oxygen, and phosphorus.
blogster	# One who blogs.
bioscientific	# Relating to bioscience.
byssolite	# en An olive-green fibrous variety of hornblende.
bassetite	# en A monoclinic-prismatic mineral containing hydrogen, iron, oxygen, phosphorus, and uranium.
big bluestem	# ''Andropogon gerardii'', a tall bunchgrass native to the North American prairies.
bouffe	# en To make bouffant.#: ''I thought about '''bouffing''' my hair again.''
bifeprunox	# An antipsychotic drug.
bisphosphoglycerate	# en Any compound containing two phosphoglycerate groups
brothel creeper	# en A type of soft shoe with a crepe sole
bass fiddler	# A double bassist; someone who plays the bass fiddle (double bass).
blind nailing	# en the use of nails that are not exposed to the weather.
burlesquely	# In a burlesque manner.
bradymetabolic	# Relating to bradymetabolism
bait-and-switch	# Relating to use of bait and switch (offering one attractive exchange initially, but not honoring the offer) in business, politics, and elsewhere.
bush jacket	# A jacket, usually khaki-coloured with many large pockets, worn by birdwatchers and the like.
biopelsparite	# en A limestone similar to biosparite
beplushed	# Covered with plush.
batt	# Pieces of fabric or fibre used for stuffing; as for batting or insulation# en A shoe.|lang=en|year=1977|quotee=Burton, Peter|title=The Gentle Art of Confounding Naffs|quoted_in=''Myth of the Modern Homosexual''|year_published=2016|first=Rictor|last=Norton|publisher=Bloomsbury Publishing|isbn=9781474286930|page=115|passage=As feely homies, when we launched ourselves onto the gay scene, polari was all the rage. We would zhoosh our riahs, powder our eeks, climb into our bona new drag, don our '''batts''' and troll off to some bona bijou bar.}}
bocasine	# A sort of fine buckram.
bogoroside	# A particular steroid glycoside.
busty	# Having large breasts.#: ''a '''busty''' blonde''
bed trick	# A plot device in traditional literature and theatre where a character begins sexual activity with someone else, then steals away after the lights are off, allowing another character to continue instead.<ref>http://www.guardian.co.uk/stage/2013/may/16/bed-trick-short-film-inspired-changeling Bed Trick: how we made a short film inspired by The Changeling] The Guardian, 2013-05-16.</ref>
breast ironing	# The pounding and massage|massaging of a pubescent girl's breasts, using hard or heated objects, to try to make them stop developing or disappear, typically aiming to prevent the girl from attracting sexual interest.#: 
bismuthonium	# en The univalent BiH<sub>4</sub><sup>+</sup> cation, derived from bismuthane.
bebeast	# en To make a beast of.
bushbash	# en To travel or build a route straight across country rather than following an established track, typically involving forcing one's way through forest and/or undergrowth.
backwing	# An act of backwinging.# One of the posterior pair of wings on an insect.# The back portion of a bird's wing.# A wing-like projection on the upper back of some a Wayang puppets.# The flap of a dust jacket that folds around the back cover of a book.# A wing at the rear of a building.|author=Ace Finlay  |year=2017  |page= |ISBN= 1365655784|passage=Somehow I managed a nod...and Ramses satisfied disappeared and started for the upper levels presumably through one of the '''backwings''' that were located parallel but behind the main floors in the complex. }}
benchlet	# en A small bench# A stool
benedictive	# en A particular verbal mood in Sanskrit language.
buddyroo	# en A close friend or pal
bodig	# en Lytico-Bodig disease#: 
benidipine	# A dihydropyridine calcium channel blocker for the treatment of hypertension.
bag out	# en to criticise someone#: ''I don't mean to '''bag''' you '''out''', but that top is really not flattering on you.''Category:English phrasal verbsCategory:English phrasal verbs with particle (out)
basic block	# en A sequence of contiguous instructions that contains no jumps or labels.#: ''Dividing the code into '''basic blocks''' makes analysis of control flow much easier.''
backshot	# en A shot that sends something backwards, such as a shot that sends the ball behind the player making it.# A measurement of the azimuth when sighting to an earlier point along a path that is being measured with a compass.# A shot in the back.# en A shot taken from behind the subject.# en A sexual position in which the man penetrates his partner from behind.
browed	# en Having a brow.
Baggie	# en someone connected with w:West Bromwich Albion Football Club|West Bromwich Albion Football Club, as a fan, player, coach etc.
buttmuncher	# en Term of abuse
Burmeseness	# Quality of being Burmese.
body painting	# en The application of paint to the body as a form of body art.# en A body painted this way and viewed of as a work of art.
biogenetics	# en genetic engineering
ballpoint	# en A ballpoint pen.#: ''Have you seen my '''ballpoint'''? I need to sign this form, and a felt-tip won't make carbons.''# en A kind of needle with a rounded tip.
bicanalicular	# Involving two canaliculus|canaliculi
bag of wind	# en A windbag; a tiresomely talkative person.
biosensing	# en The use of nanoscale or microscale biological sensors.
bordetella	# en Any of several gram-negative coccobacillus|coccobacilli, of the genus ''Bordetella'', many of which are pathogenic; especially  which causes whooping cough and kennel cough.Category:English 4-syllable wordsCategory:en:Bacteria
blueshifting	# The production of a blueshift
bubble-head	# en A submariner.
brain fever	# en encephalitis or meningitis
bill of sight	# A form of entry at the customhouse, by which goods, respecting which the importer is not possessed of full information, may be provisionally landed for examination.
biophilosophy	# A branch of philosophy dealing with epistemological, metaphysical, and ethical issues in the biological and biomedical sciences.
bangarang	# A commotion# A disturbance or argument# rubbish; miscellaneous items
bewitch	# en To cast a spell upon.# en To fascinate or charm.#: ''I was '''bewitched''' by the sight of the girl dancing in the forest.''# en To astonish, amaze. 
bee wolf	# Any of the solitary predatory wasps of the genus .Category:en:Hymenopterans
bored out of one's mind	# en Extremely bored.
BPD	# en borderline personality disorder#English|Borderline personality disorder.
basifugal	# en Tending or proceeding away from the base.#: ''a '''basifugal''' growth''
bandlimited	# en Describing a signal whose spectral power is zero outside of a band of frequency|frequencies
back foot	# en The batsman's foot closest to the wicket
bioclutter	# radar or sonar interference caused by living organisms such as fish
butyral	# en butyraldehyde
biolistic	# Of or pertaining to biolistics
BFTT	# en 
benim	# en To take away; rob; deprive; ravish 
boratoan	# en Describing minerals that contain trivalent borate BO<sub>3</sub><sup>3-</sup> anions
breathsome	# Characteristic of breath or breathing; breathy
Bugun	# An Asian tribe found in India and listed under the Scheduled Tribes of India. They speak Bugunish.
Barnaby	# en originally, a lively and fast-paced dance; by extension, any quick and uneven movement.
bainin	# en undyed white homespun woolen yarn or cloth# en the creamy white colour of such yarn or cloth# en a jacket made of such cloth
bucket chemistry	# en Any chemical process or technique that is relatively low-tech, and does not require specialist equipment or skills, or precise measurement or control.
benzothiazolyl	# en A univalent radical derived from benzothiazole
beader	# One who makes decorative beading.|passage=Bessie’s father was a milkman, and her mom was a homemaker, but Aunt Jenny was a '''beader'''.}}
beefsteak Nazi	# en A communist or socialist in Nazi Germany who joined the Nazi Party.
beaded	# Made from, or decorated with, beads.# Having formed in beads or a bead-like shape.
bibliomic	# Pertaining to bibliomes or to bibliomics
Byronian	# An enthusiast of the works of Byron.
blacktag	# en A hashtag used by, or in support of, the black community.
blandiloquently	# In a blandiloquent manner.
blastemal	# en Relating to the blastema; rudimentary.
brown teal	# A member of the dabbling duck subfamily endemic to New Zealand; ''Anas chlorotis''.
bankerless	# Without or lacking bankers.
brown bullhead	# A catfish native to eastern North America, 
Blanchard lathe	# A lathe for turning irregular forms after a given pattern, such as lasts, gunstocks, etc.Category:English eponyms
bris	# en ritual|Ritual male circumcision.
believing	# belief
bluegill	# A North American sunfish; ''Lepomis macrochirus''.
bugologist	# en One who studies insects.
bizygomatic	# Of, pertaining to, or joining the two zygomatic arches
babymaker	# en Somebody who gives birth to a baby.# en The penis.Category:en:People
beastie	# en beast|Beast, animal.
bossily	# In a bossy manner.
beef tomato	# en a type of large tomato
barbaric	# of or relating to a barbarian; uncivilised|uncivilised, uncultured or uncouth#: #: 
bulbed	# Shaped like a bulb.|passage=One man does not pass: John Cornelius Foley, a 6-foot-2, lumbering slab of damaged Irish-American age 57 years this May. He limps slowly, his right leg below the knee as knotty and '''bulbed''' as an old root.}}
bulbel	# en A separable bulb formed on some flowering plants.
berede	# en To advise.
barrel organist	# Someone who plays a barrel organ.Category:en:MusiciansCategory:en:People
bivalvular	# Having two valves.
bump off	# en To kill, especially to murder.# en To cut class; to play truant.
biodecontaminant	# A biological decontaminant
beast of prey	# A carnivorous animal that hunts for its food, especially one that preys on vertebrates.# en A predatory person, savagely cruel and ruthless in their treatment of others.
bedemoned	# Plagued or beset by demons; bedevilled
bioorgan	# A synthetic organ (of the body) manufactured from biological material
bulletwood	# A tropical hardwood tree, ''Manilkara bidentata'', grown commercially in Puerto Rico.# The timber of this tree.# A flowering tree,  or medlar (''Mimusops elengi''), whose flowers are used in Thai herbal medicine.
baseburner	# A type of stove that automatically re-adds coal, when needed, to the base using a hopper.|passage=A nickelplated warrior gleamed from the top of a '''baseburner''' that showed pink through its mica doors.}}
bottle deposit	# A monetary deposit collected at the point of sale when a bottled beverage is purchased, and fully or partially refunded when the empty bottle is returned.
bougieness	# en The quality of being bougie.
book deal	# An agreement between a publisher and an author, by which the author agrees to write a certain number of books to be published by the publisher.# An agreement between a publisher and one or more individuals to permit the publisher to publish a book, typically written by a different author, about events in the life of the individuals.
bad girl	# en A female criminal.# A woman whose rebellious nature makes her attractive.
Bermudas	# Bermuda shorts
blood cell	# en Any of the cells normally found in blood, namely erythrocytes and leukocytes, sometimes including the platelets.
balladesque	# Resembling or characteristic of a ballad.
biospecific	# en Whose properties or activities vary according to the specific biological molecule that it interacts with.# en Of or relating to a biospecies.
backbreaking	# en Of work, very physically tiring.
bounteously	# In a bounteous manner.
biofilm	# en A thin film of mucus created by and containing a colony of bacteria and other microorganisms.
bookcraft	# en authorship|Authorship; literary skill.
babbling	# en a stage in child language acquisition, during which an infant appears to be experimenting with uttering sounds of language, but not yet producing any recognizable words# en sounds produced by infant during the babbling period# en Idle senseless talk; prattle.# en A confused murmur, as of a stream.
bog myrtle	# A shrub with a strong resinous scent, Myrica gale|''Myrica gale'', growing on moors and fens.
bloodbird	# An Australian honeysucker, ''Myzomela sanguineolata''.
bean king	# The elected king of the festivity|festivities on Twelfth Night, chosen by his finding a bean hidden in the Twelfth cake.
blow-dry	# An instance of blow-drying#: ''She went to the hairdresser's for a haircut, shampooing and a '''blow-dry'''.''Category:en:Hair
bypast	# past
baeocystin	# A psilocybin mushroom alkaloid and analog of psilocybin.
black in the face	# Having the face purple through strangulation, passion or effort.
Batson venous plexus	# en A network of valveless veins in the human body, connecting the deep pelvic veins and thoracic veins (draining the inferior end of the urinary bladder, breast, and prostate) to the internal vertebral venous plexuses.Category:English eponyms
bastardy bond	# en A document that named the father of a child whose parents were not married, and stipulated payments (to the mother or to the parish) to be made for its upkeep
bulblet	# en A small bulb or tuber, either produced on a larger bulb or tuber or on some aerial part of a plant.
bowerland	# en A rural area; farmland; bowery
baseband	# en The frequency range occupied by a message signal prior to modulation.# en A method of transmission in which only one frequency channel is used at a time.# en A device using baseband transmission.
Brussels	# A Brussels carpet.Category:en:Capital citiesCategory:en:Cities in BelgiumCategory:en:Exonyms
brake drum	# A hollow metal cylinder, attached to a wheel of a vehicle, to which pressure is applied when braking.
bioaccessibility	# The potential for a substance to interact with (and be absorbed by) an organism
bindstone	# A kind of calcareous rock where organisms (such as alga)e encrust the elements during deposition and bind them together.
boominess	# The property of being boomy
bralessness	# The state of being braless, or not wearing a bra.#: ''She soon discovered that '''bralessness''' was not practical when running.''
bodaciously	# In a bodacious manner.
baggage reclaim	# en The designated location for receiving checked luggage such as the baggage carousels at an airport.
bolosaurid	# en Any member of the Bolosauridae.
boy band	# en A pop group whose members are all (usually attractive) young men.
bywoner	# en A poor tenant farmer who labours for the owner and does some farming of his own.
biliousness	# The state of being bilious.
bismuthiferous	# Containing or producing bismuth.
biocompatible	# Compatible with biological tissue|passage=The researchers say that there are many hurdles to overcome in using such a device inside the body, but that the work represents "a step toward the development of '''biocompatible''', minimally invasive, autonomous microtools."}}
braggie	# en A photo shared on a social media network with the sole intention of making one's friends/followers jealous.
basilophorous	# Incorporating the king's name.
bambermycin	# A complex of antibiotics obtained from ''Streptomyces bambergiensis'', used as a food additive for poultry and swine.
baryonic dark matter	# en Any large aggregate of ordinary matter that does not emit light.
ben mort	# en good|Good woman.|lang=en|year=1610|year_published=1896|authorlink=Samuel Rowlands|first=Samuel|last=Rowlands|chapter=Towre Out '''Ben Morts'''|title=Musa Pedestris|editor=|url=https://archive.org/stream/musapedestristhr00farm#page/5/mode/1up/|page=5|passage=Towre out '''ben morts''' & towre, / Looke out '''ben morts''' & towre, / For all the Rome coues are budgd a beake, / And the quire coves tippe the lowre.}}w|The Roaring Girl}}
boat train	# en A travel service with a train timed to arrive at a ferry port in time for the onward travel by ferry (or vice versa).
boulder opal	# An opal consisting of concretions and fracture fillings in a dark siliceous ironstone matrix.
bodied	# en Having a specified form of body.# Having a bodily form; corporeal or incarnate.
bedhead	# The condition of having unkempt hair, generally as a result of having just woken up from sleep.# en A vertical panel or board at the end of a bed where the pillow is placed.# The end of a bed where the pillow is placed, the head of the bed.
bucricaine	# An anesthetic drug.Category:en:Drugs
barrel fever	# en intoxication or illness from intemperance in drink
bigature	# A very large scale model.
brodifacoum	# en A highly lethal anticoagulant poison used as a rodenticide.
benzodiazepine	# en Any of a class of psychoactive drugs, structured upon diazepine, used in the treatment of anxiety, insomnia and other related disorders.
branchingly	# So as to branch or divide.
babassu	# a tall Brazilian feather palm, , having hard-shelled nuts that yield an edible oil
bulk viscosity	# en resistance to expansion and contraction by a fluid# en the measure of such
black bag	# en A black plastic sack produced for the disposal of household waste.#: ''The road was full of '''black bags''' awaiting the arrival of the dustbin men.''# en The pouch or case traditionally carried by medical doctors, especially when making house calls, and containing medical instruments and supplies.# A pouch or case containing burglary tools.
Belgian	# Of, from, or pertaining to Belgium or the Belgian people.
bo-peep	# en To play the game of bo-peep; to peek out suddenly.Category:en:Frogs
bitscore	# A normalised numerical score used to determine the similarity of two lists
batsmanship	# en A skilled or courteous display of skill as a batsman.#: ''Although our team lost, we were complimented by everyone on our '''batsmanship'''.''
biochron	# the length of time represented by a biozone
bleaty	# Having a bleating sound.|passage=The problem is that these two attributes seem to belong to two different voices: the top was altogether less satisfying than the bottom, and at the point at which they meet, his sound was dangerously '''bleaty'''.}}
